,0
0,3.447276e-17
1,0.0
2,0.001540033
3,0.0034523401
4,0.0056041996
5,0.007879791
6,0.010185609
7,0.012450432
8,0.016072448
9,0.020323865
10,0.025663586
11,0.032271568
12,0.04050384
13,0.050759915
14,0.06352011
15,0.07946018
16,0.09934241
17,0.12416886
18,0.155146
19,0.19379574
20,0.24192816
21,0.30207086
22,0.37715632
23,0.4708823
24,0.5874605
25,0.73273784
26,0.91440994
27,1.1408417
28,1.4227138
29,1.7746761
30,2.213611
31,2.7620907
32,3.4461906
33,4.300575
34,5.367482
35,6.6988096
36,8.361846
37,10.436959
38,13.025615
39,16.254139
40,20.277056
41,25.288805
42,31.513983
43,39.252083
44,48.851254
45,60.761627
46,75.51373
47,93.74485
48,116.243
49,143.94055
50,177.93651
51,219.41583
52,269.88724
53,331.0577
54,404.56662
55,492.09378
56,595.4221
57,715.4565
58,852.40216
59,1005.7571
60,1174.1318
61,1353.0061
62,1536.8411
63,1718.6307
64,1888.9071
65,2039.7208
66,2162.9775
67,2252.889
68,2306.0251
69,2322.0938
70,2302.7778
71,2251.8394
72,2174.1052
73,2075.0693
74,1960.1189
75,1834.3446
76,1702.2828
77,1567.7861
78,1434.0775
79,1303.69
80,1178.5312
81,1059.9836
82,948.9248
83,845.9018
84,751.1322
85,664.5998
86,586.10767
87,515.31976
88,451.8122
89,395.1032
90,344.67984
91,300.01648
92,260.59558
93,225.9119
94,195.48676
95,168.86937
96,145.64183
97,125.420204
98,107.853
99,92.62241
100,79.44232
101,68.05677
102,58.23747
103,49.782013
104,42.511456
105,36.268147
106,30.913797
107,26.327303
108,22.403017
109,19.048897
110,16.184984
111,13.741989
112,11.659945
113,9.887038
114,8.378608
115,7.0961847
116,6.0067153
117,5.081821
118,4.2971687
119,3.6319168
120,3.068234
121,2.5908914
122,2.1868875
123,1.8451334
124,1.5561821
125,1.3119944
126,1.1057281
127,0.93157125
128,0.78458697
129,0.66058564
130,0.5560139
131,0.46786016
132,0.39357215
133,0.33099115
134,0.27828896
135,0.23392029
136,0.1965785
137,0.16515972
138,0.1387319
139,0.116508074
140,0.09782427
141,0.08212051
142,0.06892458
143,0.05783849
144,0.048526987
145,0.04070764
146,0.034142658
147,0.028631901
148,0.024006953
149,0.02012612
150,0.016870247
151,0.014139169
152,0.011848644
153,0.009927918
154,0.008317529
155,0.0069675334
156,0.0058359825
157,0.0048876577
158,0.0040929927
159,0.0034271758
160,0.0028693818
161,0.0024021396
162,0.002010794
163,0.0016830524
164,0.0014086057
165,0.0011788127
166,0.0009864252
167,0.0008253712
168,0.00069055957
169,0.0005777241
170,0.00048329108
171,0.00040426548
172,0.00033813863
173,0.0002828103
174,0.00023651999
175,0.00019779422
176,0.0001653993
177,0.000138302
178,0.00011563761
179,9.6682066e-05
180,8.082951e-05
181,6.757277e-05
182,5.648746e-05
183,4.721837e-05
184,3.946843e-05
185,3.2988955e-05
186,2.7572021e-05
187,2.304355e-05
188,1.925805e-05
189,1.609376e-05
