,0
294,9.3959576e-14
295,7.839598e-14
296,6.5410025e-14
297,5.4574878e-14
298,4.553436e-14
299,3.7991196e-14
300,3.1697487e-14
301,2.6446283e-14
302,2.206491e-14
303,1.8409312e-14
304,1.5359274e-14
305,1.2814505e-14
306,1.069131e-14
307,8.919862e-15
308,7.4418985e-15
309,6.2087845e-15
310,5.1799787e-15
311,4.3216235e-15
312,3.6054936e-15
313,3.008016e-15
314,2.5095373e-15
315,2.0936583e-15
316,1.7466895e-15
317,1.457216e-15
318,1.2157108e-15
319,1.0142267e-15
320,8.4613133e-16
321,7.058933e-16
322,5.8889606e-16
323,4.9128784e-16
324,4.0985648e-16
325,3.419216e-16
326,2.8524576e-16
327,2.379634e-16
328,1.9851788e-16
329,1.6561041e-16
330,1.381573e-16
331,1.1525467e-16
332,9.6148324e-17
333,8.020898e-17
334,6.6911884e-17
335,5.5819e-17
336,4.6564925e-17
337,3.884494e-17
338,3.240474e-17
339,2.7032196e-17
340,2.2550297e-17
341,1.8811432e-17
342,1.5692448e-17
343,1.3090532e-17
344,1.0920006e-17
345,9.109339e-18
346,7.598882e-18
347,6.3388633e-18
348,5.2877525e-18
349,4.4109253e-18
350,3.6794855e-18
351,3.069327e-18
352,2.5603415e-18
353,2.1357545e-18
354,1.781573e-18
355,1.4861239e-18
356,1.2396652e-18
357,1.0340763e-18
358,8.625812e-19
359,7.195249e-19
360,6.0019264e-19
361,5.0065e-19
362,4.176156e-19
363,3.4835145e-19
364,2.9057436e-19
365,2.4237984e-19
366,2.0217817e-19
367,1.6864397e-19
368,1.4067154e-19
369,1.1733841e-19
370,9.78753e-20
371,8.164048e-20
372,6.809828e-20
373,5.6802305e-20
374,4.7379962e-20
375,3.9520483e-20
376,3.296468e-20
377,2.7496308e-20
378,2.2934993e-20
379,1.9130303e-20
380,1.5956753e-20
381,1.3309623e-20
382,1.1101605e-20
383,9.259872e-21
384,7.7236625e-21
385,6.4422975e-21
386,5.373497e-21
387,4.4820042e-21
388,3.738407e-21
389,3.1181668e-21
390,2.6008323e-21
391,2.1693187e-21
392,1.809397e-21
393,1.5091874e-21
394,1.2587851e-21
395,1.0499277e-21
396,8.757217e-22
397,7.3041845e-22
398,6.0922357e-22
399,5.081368e-22
400,4.238221e-22
401,3.5349693e-22
402,2.9484034e-22
403,2.4591652e-22
404,2.051101e-22
405,1.7107475e-22
406,1.4268664e-22
